# time	signal	sigma
-4.669999867923380066e-06	1.703160932915826300e-05	1.825380325686601097e-03
-4.667999867979943929e-06	2.006595209029214959e-05	1.827973808355857393e-03
-4.665999868036507792e-06	1.814002938464240994e-05	1.829401524669011609e-03
-4.663999868093071655e-06	1.684436648146170399e-05	1.827984473110492135e-03
-4.661999868149635518e-06	1.560425942444553004e-05	1.824384801187583800e-03
-4.659999868206199380e-06	1.487446459477205756e-05	1.819898112884748773e-03
-4.657999868262763243e-06	1.627150565394815010e-05	1.815343113767663554e-03
-4.655999868319327106e-06	2.356436726185347696e-05	1.840847124213128771e-03
-4.653999868375890969e-06	2.453998319350977832e-05	1.834603697929852988e-03
-4.651999868432454832e-06	2.359889038609485072e-05	1.829667051897080916e-03
-4.649999868489018695e-06	2.135437577661835804e-05	1.824248981134167502e-03
-4.647999868545582558e-06	2.088777157021909792e-05	1.817700325274338282e-03
-4.645999868602146421e-06	2.120114651330749734e-05	1.813435647446420005e-03
-4.643999868658710284e-06	2.175600348682733593e-05	1.810549784801480152e-03
-4.641999868715274147e-06	1.975185119385425986e-05	1.810106461491737314e-03
-4.639999868771838010e-06	1.878145061371514651e-05	1.810747188675831823e-03
-4.637999868828401873e-06	2.171331498083666086e-05	1.813728940220741019e-03
-4.635999868884965736e-06	2.430518100683548848e-05	1.815416880430012567e-03
-4.633999868941529598e-06	2.681583636909243848e-05	1.819219920235853622e-03
-4.631999868998093461e-06	2.662482061447640357e-05	1.823990087308222010e-03
-4.629999869054657324e-06	2.762513640406028198e-05	1.827217246707458186e-03
-4.627999869111221187e-06	2.881537440029306382e-05	1.827292328053193443e-03
-4.625999869167785050e-06	2.669277754459284716e-05	1.826830933664558201e-03
-4.623999869224348913e-06	2.568007964588327045e-05	1.825180227646747404e-03
-4.621999869280912776e-06	2.542129230846158772e-05	1.823372809822232030e-03
-4.619999869337476639e-06	2.699696198881938389e-05	1.820518210655437024e-03
-4.617999869394040502e-06	2.987759961587627762e-05	1.816229377603637745e-03
-4.615999869450604365e-06	3.209275910988796266e-05	1.813977977760684738e-03
-4.613999869507168228e-06	3.693842298324644200e-05	1.825147766052481919e-03
-4.611999869563732091e-06	3.741498599771909115e-05	1.821088961559846290e-03
-4.609999869620295954e-06	3.718483023377739923e-05	1.815639175115947536e-03
-4.607999869676859817e-06	3.779511489834881037e-05	1.810883103137728503e-03
-4.605999869733423679e-06	3.813773281166019406e-05	1.806201252940817280e-03
-4.603999869789987542e-06	3.646954336481450661e-05	1.802423545876495961e-03
-4.601999869846551405e-06	3.431665542828234161e-05	1.798788015846239634e-03
-4.599999869903115268e-06	3.246133999167908355e-05	1.796791532114567526e-03
-4.597999869959679131e-06	3.365322699777921391e-05	1.796188403372106761e-03
-4.595999870016242994e-06	3.422437614212760692e-05	1.799488781905660140e-03
